SN,Type,Ni56 mass,Average/single values,Reference,,Host Galaxy,Distance,Reference_for_Host_Galaxy,Reference_for_Distancec,,
,,0.4730,,Taddia+19,,,,,,,
SN2017czd,IIb ,0.0030,0.0030,Nakaoka+17,,UGC 9567,45.2,,,,
SN2017dcc,Ic,0.1600,0.1600,Prentice+19,,Anon,102.802,,# Prentice+19,,
SN2017ein,Ic,0.1350,0.1325,Van dyk+18,,NGC 3938,12.7,,,,
,,0.1300,,Xiang+19,,,,,,,
SN2017gpn,IIb ,0.0700,0.0700,Prentice+19,,NGC 1343,10.5,,,,
SN2017hyh,IIb ,0.0690,0.0690,Prentice+19,,CGCG 029-002,55.1,,,,
SN2017ifh,Ic,0.1600,0.1600,Prentice+19,,2MASX J06350438+5026278,156.315,,# Prentice+19,,
SN2017ixz,Ic,0.0560,0.0560,Prentice+19,,2MASX J07470232+2646347,106.5,,,,
ZTF18aalrxas,IIb ,0.1700,0.1700,Fremling+19,,Anon,263,,# Fremling+19,,
SN2018bvw,Ic-BL,0.3000,0.3000,Ho+20,,Anon,248.85,,# Ho+20,,
SN2018cbz,Ic,0.1900,0.1900,Prentice+19,,IC 908,109,,,,
SN2018gjx,Ib,0.0210,0.0210,Prentice+20,,NGC 865,33.7,,,,
SN2018ie,Ic,0.0260,0.0260,Prentice+19,,NGC 3456,47.5,,,,
SN2020bvc,Ic-BL,0.1300,0.1300, Ho+20,,UGC 9379,119.5,,,,
